127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.001211
127.0.0.1, 2015-12-02 14:24:17, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.079717
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.043176
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001367
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001463
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002188
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001639
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.000741
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001607
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.000389
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 304, 0.001015
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.000346
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000467
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.000805
127.0.0.1, 2015-12-02 14:24:18, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000415
